# Layer-2 SF6 industrial point sources. Pull date 2026-06-03.
# US = EPA GHGRP (Envirofacts); EU = E-PRTR via EEA discodata [IED].[latest], SF6/AIR.
# GAP: China (~57% of global SF6) and most of Asia have no facility-level reporting.
facility_name,country,lat,lon,sf6_tonnes_yr,year,source_dataset,sector,notes
"TYSON FARMS, INC. - Union City TN",US,36.419221,-89.005841,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Glacial Lakes Energy,US,44.8762,-97.1148,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
SMITHFIELD FRESH MEATS CORP-DENISON,US,42.02579,-95.36125,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Smithfield Fresh Meats Corp. - Crete Facility,US,40.579722,-96.964722,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
HIGHWATER ETHANOL LLC,US,44.2301,-95.2988,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
BIG RIVER UNITED ENERGY LLC,US,42.4872,-91.1633,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Archer Daniels Midland Co.,US,39.8675,-88.885,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP,UU"
"SIOUXLAND ETHANOL, LLC",US,42.45196,-96.591844,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
Seaboard Foods Pork Processing Plant,US,36.70724,-101.47763,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
International Paper - Mansfield Mill,US,32.15889,-93.55667,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II,TT"
River Valley Ingredients - Texarkana,US,33.532806,-93.812694,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Cree, Inc",US,35.899298,-78.840802,0.392,2023,EPA GHGRP (Envirofacts),industrial,"subparts=C,I"
"GREEN PLAINS BLUFFTON, LLC",US,40.722139,-85.193722,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GREEN PLAINS ORD LLC,US,41.56769,-98.81558,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
HERON LAKE BIOENERGY LLC,US,43.862199,-95.300983,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ANDERSONS CLYMERS ETHANOL LLC,US,40.719022,-86.435982,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Big River Resources Boyceville, LLC",US,45.050596,-91.980063,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ADM CORN PROCESSING,US,41.9192,-91.6862,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
Darling Ingredients Inc.,US,38.731961,-84.407214,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"CENTRAL INDIANA ETHANOL, LLC",US,40.56492,-85.72772,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
"Irwindale Brew Yard, LLC.",US,34.12159,-117.93825,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
JBS SWIFT,US,42.054417,-92.897944,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
HOMELAND ENERGY SOLUTIONS LLC,US,43.0668,-92.1579,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
"Mountaire Farms of Delaware, Inc.",US,38.6011,-75.2629,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
ARKALON ETHANOL LLC,US,37.107705,-100.796294,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II,PP"
Valero Linden Plant,US,40.197778,-86.910833,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
GREEN PLAINS OBION LLC,US,36.28305,-89.147607,,,EPA GHGRP (Envirofacts),industrial,"subparts=C,II"
PACKAGING CORPORATION OF AMERICA,US,44.21336,-86.284609,,,EPA GHGRP (Envirofacts),industrial,"subparts=AA,C,II"
